name,centroid_lat,centroid_lon,drainage_area,elevation_mean,elevation_min,elevation_max
14306500,6589074.0396,-3763491.6938,1303.5132,318.4796,11.3604,1248.7334
14308990,6391168.5929,-3866019.6605,264.2875,917.918,570.0892,1547.9998
14309500,6443962.1347,-3914361.6508,352.5583,735.2312,306.1446,1308.702
14316700,6427088.1759,-3771906.2585,642.9758,967.7128,345.716,1809.3848
14325000,6460500.2906,-3938982.6952,696.928,645.9057,58.6835,1234.5814
14362250,6333448.3169,-3931729.2551,68.6277,960.3148,479.3649,1520.7557
14400000,6402877.1435,-3991504.9647,1110.9344,664.4361,14.2751,1548.9706
10259000,4961908.9921,-4065085.4622,37.5457,1299.9858,179.1323,2556.5723
11124500,5274421.4042,-4310810.8743,324.3781,1018.8155,235.0074,1983.3762
11141280,5398321.388,-4330221.8356,95.2396,546.5696,163.4484,869.3591
11143000,5591474.0366,-4354882.2639,205.3339,780.3997,74.9779,1502.2101
11148900,5498669.2939,-4336776.9013,28.5472,373.9968,259.4318,500.0089
11151300,5534325.0684,-4276183.9343,1009.1863,625.6212,0.0,1348.5999
11176400,5715897.2895,-4237670.5663,563.0775,754.3522,226.7285,1241.6527
11230500,5523261.3689,-4003666.5562,215.7378,3232.953,2253.0432,4161.021
11237500,5524992.661,-4044472.4448,104.7156,2399.6736,1483.383,2997.7153
11264500,5601632.0325,-4023640.7566,748.5019,2737.604,1210.4269,3979.9
11266500,5609025.7849,-4026736.322,1330.7579,2574.0452,1176.0896,3978.756
11284400,5661675.7208,-4078613.1374,67.1934,964.7872,790.8665,1204.4103
11381500,6031391.1995,-3995989.6037,539.2363,1206.6849,119.1049,3116.385
11451100,5994918.4672,-4178398.8831,254.5487,909.4587,469.9579,1742.4952
11468500,6081168.5819,-4226167.9298,452.7867,281.2655,5.2555,944.5602
11473900,6082731.8636,-4151913.9777,3146.8332,1122.409,0.0,2305.628
11475560,6113605.2856,-4202328.3071,27.6486,862.8425,431.6121,1276.9628
11476600,6208152.7061,-4178699.3494,118.5148,471.6441,82.5264,998.2314
11478500,6190269.3126,-4137013.9894,935.3866,921.9593,108.5047,1786.2308
11480390,6137829.5779,-4127607.3159,394.675,1130.6381,819.714,1834.728
11481200,6279122.81,-4108012.9281,172.873,332.0904,5.2034,1028.4745
11482500,6275095.9961,-4096011.8906,1169.257,556.0454,2.2248,1622.7871
11522500,6248658.1629,-4019295.6989,3092.6877,1297.5231,149.7242,2680.8208
11523200,6202982.2501,-3982450.4857,607.6589,1622.2523,769.8587,2745.5789
11528700,6165904.9522,-4100298.0559,3201.8235,1122.8373,368.8569,2386.273
11532500,6351875.1906,-4020336.1032,2519.4317,768.2921,26.6254,1916.0096
cannonsville,4695090.158,6984.7281,1186.1587,525.5032,0.0,1016.3173
pepacton,4683771.3777,30607.3322,971.6733,631.7528,332.8214,1177.5184
neversink,4657170.0217,39970.8637,256.7084,690.2632,369.3777,1272.3209
wallenpaupack,4598847.2919,-29438.1018,593.392,478.6662,268.855,698.5604
prompton,4637022.0223,-32285.7708,151.9413,502.3995,331.3086,804.7634
shoholaMarsh,4595317.0562,-6281.1511,141.159,430.7259,310.2791,613.4426
mongaupeCombined,4629890.4584,19437.749,506.2863,416.5866,204.4248,678.4809
beltzvilleCombined,4551747.2772,-49686.4674,250.6861,333.3652,188.6264,624.2367
fewalter,4577764.3572,-50087.3586,751.9426,556.1724,378.6571,688.8296
merrillCreek,4527603.6579,-14791.2228,10.4588,281.3088,118.3388,378.8328
hopatcong,4550123.7767,27237.3235,70.7199,316.5471,262.0429,422.7952
nockamixon,4502550.5344,-26803.2704,25.7535,163.2164,119.89,293.8939
assunpink,4465656.158,33468.0388,23.4126,52.6251,29.7467,98.4976
ontelaunee,4514186.4544,-78068.8867,500.9587,186.141,14.3468,501.59
stillCreek,4547584.4056,-86378.8008,19.0626,435.0422,338.1498,537.9856
blueMarsh,4496793.3885,-110136.0151,469.3819,166.1577,70.4045,500.1612
greenLane,4494538.9567,-54504.8141,247.9928,170.6849,21.1643,356.5651
1425000,4694989.9303,6780.0517,1193.038,524.6994,0.0,1012.6965
1417000,4683771.3777,30607.3322,971.6733,631.7528,332.8214,1177.5184
1436000,4657170.0217,39970.8637,256.7084,690.2632,369.3777,1272.3209
1433500,4629075.171,19541.204,526.7835,415.7436,192.5873,678.3322
1449800,4551729.4987,-49707.3509,251.193,333.1782,152.0082,624.8935
1447800,4577734.7105,-50165.5887,755.8508,555.6066,367.5329,688.8296
1463620,4468084.6737,26978.1345,92.1718,35.8248,13.7898,98.1465
1470960,4496793.3885,-110136.0151,469.3819,166.1577,70.4045,500.1612
delLordville,4678819.3976,6659.943,4134.3324,574.4395,256.235,1178.0352
delMontague,4647917.0928,3498.8824,9060.4633,490.7712,114.8593,1272.6594
delDRCanal,4596954.9374,-12246.2233,17673.265,383.8771,-40.56,1269.8618
delTrenton,4596954.9374,-12246.2233,17673.265,383.8771,-40.56,1269.8618
outletAssunpink,4470440.2079,19225.8802,239.6745,32.3378,1.5413,98.144
outletSchuylkill,4493469.7672,-74739.7627,4987.1823,167.859,-85.1242,632.5158
1413088,4699281.2354,42098.3473,65.0061,637.4231,443.034,1017.9844
1413398,4685837.4567,45205.3351,122.8705,673.004,416.2153,1090.3928
1413500,4687129.0646,41233.0532,436.7177,663.4076,391.9936,1177.4315
1415000,4686697.2654,20902.9091,87.414,611.1378,391.3875,1018.4563
1414500,4674236.0221,32264.9338,67.4341,708.7182,383.78,1130.7566
1413408,4681251.3609,43366.3008,214.3122,701.8379,405.6882,1175.8702
1414000,4688398.9877,30078.875,91.978,644.8504,388.2357,1014.2173
1443280,4561231.6166,23788.1823,34.7368,207.5656,127.7116,325.5838
1443500,4564235.9361,13659.572,331.1585,212.5708,103.0355,486.0758
1445500,4548193.5831,8205.4622,279.1203,204.0316,117.6742,374.5522
1421618,4705456.4122,37895.3023,41.8149,670.1172,487.2942,980.2887
1421900,4705644.787,26594.4542,355.8164,609.6096,411.7212,977.4608
1422500,4696081.756,22894.2768,135.8431,636.3594,409.2734,1015.2371
1421610,4710786.897,36651.2139,42.1024,625.606,486.4199,972.0079
1422747,4693842.0344,-979.8172,65.2133,560.3623,368.0327,733.4463
